artists,title,date,accousticness,danceability,duration_ms,energy,instrumentalness,liveness,speechiness
"Arthur Ferrante, Louis Teicher, Ferrante & Teicher",Theme From Midnight Cowboy - Performed Live On The Ed Sullivan Show 12/7/69,1970-01-17,0.959,0.284,177444,0.427,0.886,0.638,0.0574
Arthur Lyman Group,Yellow Bird,1961-07-31,0.953,0.552,164920,0.0342,0.828,0.0937,0.0497
Artists for Haiti,We Are the World 25 for Haiti,2010-03-06,0.311,0.348,416778,0.717,0.0,0.0786,0.0882
Ashanti,Foolish,2002-07-20,0.347,0.665,227387,0.695,0.0,0.106,0.0532
Ashanti,Happy,2002-09-28,0.241,0.727,262227,0.515,3.74e-06,0.124,0.0289
Ashanti,Rain On Me,2003-11-15,0.343,0.606,297960,0.699,1.89e-06,0.0757,0.0337
Ashanti,Rock Wit U (Awww Baby),2003-08-16,0.408,0.71,209120,0.797,0.0,0.16,0.0582
Ashlee Simpson,Pieces Of Me,2004-10-02,0.0584,0.532,217440,0.807,0.0,0.114,0.057
Asia,Don't Cry,1983-09-24,0.2,0.363,210400,0.867,1.15e-06,0.134,0.0563
Asia,Heat Of The Moment,1982-07-10,0.204,0.306,227893,0.86,0.000146,0.369,0.0534
Atlanta Rhythm Section,Imaginary Lover,1978-06-03,0.383,0.598,307467,0.374,0.548,0.128,0.0259
Atlanta Rhythm Section,So Into You,1977-05-14,0.405,0.606,263800,0.501,0.0539,0.0945,0.0335
Atlantic Starr,Always,1987-06-27,0.25,0.613,286973,0.484,2.11e-06,0.195,0.0251
Atlantic Starr,Masterpiece,1992-04-25,0.0743,0.69,301720,0.219,6.55e-06,0.0831,0.0326
Atlantic Starr,Secret Lovers,1986-04-05,0.653,0.339,330667,0.379,3.56e-06,0.219,0.0528
